smiles,FishAT,DMAT,AlgAT,FishCT,DMCT,AlgCT,group
Cc1ccccc1[N+](=O)[O-],1,,,,,,train
O=[N+]([O-])c1ccccc1Cl,1,,,,,,train
Nc1ccccc1[N+](=O)[O-],1,,,,,,test
O=[N+]([O-])c1ccccc1O,1,,,,,,train
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,,,,,,train
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,0,,,,,,train
Cc1ccc(Cl)cc1[N+](=O)[O-],1,,,,,,train
O=[N+]([O-])c1cc(Cl)ccc1Cl,1,,,,,,valid
Cc1ccc(N)c([N+](=O)[O-])c1,1,,,,,,train
Cc1cc(O)c(C(C)C)cc1Cl,1,,,,,,train
CCC(C)c1ccccc1O,1,,,,,,train
Cc1ccc(C(C)C)c(O)c1,1,,,,,,train
O=Cc1ccccc1Cl,1,,,,,,test
O=Cc1ccccc1O,1,,,,,,train
COc1ccccc1N,0,,,,,,train
Cc1cccc2ccccc12,1,,,,,,train
Clc1cccc2ccccc12,1,,,,,,train
Oc1cccc2ccccc12,1,,,,,,valid
Oc1ccccc1-c1ccccc1,1,,,,,,train
O=Cc1cc(Br)cc(Br)c1O,1,,,,,,train
N#Cc1ccccc1C#N,1,,,,,,train
